Title	Author	Author_Sex	Pages	Publication_Year	Original_Language	Genre	Type	Started	Finished	Format	Rating
Abandon	Meg Cabot	F	304	2011	English	Young Adult	Fiction	2015-12-22	2016-01-06	Audio	1
The Magician King	Lev Grossman	M	400	2011	English	Fiction	Fiction	2015-12-29	2016-01-05	Digital	4
The Girl with All the Gifts	M.R. Carey	M	460	2014	English	Horror	Fiction	2016-01-05	2016-01-10	Digital	4
Thirteen Reasons Why	Jay Asher	M	288	2007	English	Young Adult	Fiction	2016-01-06	2016-01-13	Audio	4
The Cucumber King of Kedainiai	Wendell Mayo	M	124	2013	English	Fiction	Fiction	2016-01-10	2016-01-16	Physical	4
How to Read a Book: The Classic Guide to Intelligent Reading	Mortimer J. Alder and Charles Van Doren	M	426	1940	English	Nonfiction	Nonfiction	2016-01-11	2016-01-21	Digital	3
Fight Club	Chuck Palahniuk	M	218	1996	English	Thriller	Fiction	2016-01-13	2016-01-20	Audio	4
V for Vendetta	Alan Moore	M	296	1982	English	Graphic Novels	Fiction	2016-01-18	2016-01-30	Physical	4
The Perfect Storm: A True Story of Men Against the Sea	Sebastian Junger	M	248	1997	English	Nonfiction	Nonfiction	2016-01-20	2016-01-24	Audio	4
Darkness Visible: A Memoir of Madness	William Styron	M	84	1990	English	Nonfiction	Nonfiction	2016-01-21	2016-01-25	Digital	3
Strip Tease	Carl Hiassen	M	464	1993	English	Fiction	Fiction	2016-01-25	2016-02-07	Audio	2
The Hitchhiker's Guide to the Galaxy	Douglas Adams	M	216	1979	English	Science Fiction	Fiction	2016-01-25	2016-01-31	Digital	4
Mother Night	Kurt Vonnegut	M	282	1961	English	Fiction	Fiction	2016-02-01	2016-02-05	Physical	3
The Oresteia	Aeschylus	M	335	-458	Ancient Greek	Classics	Fiction	2016-02-05	2016-02-15	Digital	3
Morning Star	Pierce Brown	M	524	2016	English	Science Fiction	Fiction	2016-02-09	2016-02-12	Audio	5
How Music Works	David Byrne	M	345	2012	English	Music	Nonfiction	2016-02-15	2016-02-26	Audio	4
Oedipus Trilogy	Sophocles	M	236	-400	Ancient Greek	Mythology	Fiction	2016-02-15	2016-02-19	Digital	4
The Ables	Jeremy Scott	M	364	2015	English	Fantasy	Fiction	2016-02-16	2016-02-23	Physical	4
Dark Places	Gillian Flynn	F	349	2009	English	Mystery	Fiction	2016-02-24	2016-03-01	Digital	4
With a Tangled Skein	Piers Anthony	M	405	1985	English	Fantasy	Fiction	2016-02-28	2016-03-04	Audio	2
The Magician's Land	Lev Grossman	M	402	2014	English	Fantasy	Fiction	2016-03-01	2016-03-05	Digital	4
The Last Lecture	Randy Pausch	M	206	2008	English	Nonfiction	Nonfiction	2016-03-04	2016-03-09	Audio	4
Seconds	Bryan Lee O' Malley	M	323	2014	English	Graphic Novels	Fiction	2016-03-06	2016-03-11	Physical	5
The Library at Mount Char	Scott Hawkins	M	400	2015	English	Fantasy	Fiction	2016-03-07	2016-03-10	Digital	5
Murder on the Orient Express	Agatha Christie	F	322	1934	English	Mystery	Fiction	2016-03-10	2016-03-17	Audio	4
Lexicon	Max Barry	M	390	2013	English	Science Fiction	Fiction	2016-03-14	2016-03-31	Physical	3
The Complete Chronicles of Narnia	C.S. Lewis	M	523	1949	English	Fantasy	Fiction	2016-03-14	2016-04-24	Physical	3
Give Us the Ballot: The Modern Struggle for Voting Rights in America	Ari Berman	M	384	2015	English	History	Nonfiction	2016-03-18	2016-04-04	Audio	3
Dark Matter and the Dinosaurs	Lisa Randall	F	432	2015	English	Science	Nonfiction	2016-03-30	2016-04-10	Digital	2
Endurance: Shackleton's Incredible Voyage	Alfred Lansing	M	288	1959	English	Nonfiction	Nonfiction	2016-04-05	2016-04-08	Audio	4
Batman: The Dark Knight Returns	Frank Miller	M	197	1986	English	Graphic Novels	Fiction	2016-04-10	2016-04-11	Physical	3
11/22/63	Stephen King	M	849	2011	English	Fiction	Fiction	2016-04-11	2016-04-30	Digital	3
Where'd You Go Bernadette	Maria Semple	F	330	2012	English	Fiction	Fiction	2016-04-13	2016-04-15	Audio	4
Bad Science	Ben Goldacre	M	338	2008	English	Science	Nonfiction	2016-04-15	2016-04-17	Audio	3
The $1,000 Genome: The Revolution in DNA Sequencing and the New Era of Personalized Medicine	Kevin Davies	M	352	2010	English	Science	Nonfiction	2016-04-17	2016-04-27	Audio	3
Gut: The Inside Story of Our Body's Most Underrated Organ	Giulia Enders	F	288	2014	German	Nonfiction	Nonfiction	2016-04-27	2016-05-03	Audio	5
Dead Wake: The Last Crossing of the Lusitania	Erik Larson	M	430	2015	English	Nonfiction	Nonfiction	2016-05-01	2016-05-06	Physical	5
Lost Girls: An Unsolved American Mystery	Robert Kolker	M	399	2013	English	Nonfiction	Nonfiction	2016-05-03	2016-05-14	Audio	3
The Water Knife	Paolo Bacigalupi	M	371	2015	English	Science Fiction	Fiction	2016-05-06	2016-05-14	Digital	4
